,Unnamed: 0,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
2883,2883,Female,No,37,Yes,Artist,3.0,Low,1.0,Cat_6,B
2885,2885,Female,No,41,Yes,Entertainment,5.0,Low,2.0,Cat_6,C
2898,2898,Female,Yes,41,No,Engineer,8.0,Average,3.0,Cat_6,C
2906,2906,Male,No,33,Yes,Entertainment,9.0,Low,6.0,Cat_6,D
2908,2908,Male,Yes,42,No,Homemaker,8.0,Low,1.0,Cat_6,A
2919,2919,Female,No,32,Yes,Healthcare,8.0,Low,3.0,Cat_6,C
2922,2922,Male,No,40,Yes,Artist,7.0,Low,1.0,Cat_6,A
2923,2923,Male,Yes,53,Yes,Doctor,14.0,Average,2.0,Cat_6,B
2928,2928,Female,No,39,No,Healthcare,4.0,Low,3.0,Cat_6,D
2929,2929,Female,No,33,No,Homemaker,8.0,Low,1.0,Cat_6,D
2932,2932,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
2936,2936,Female,No,40,Yes,Artist,8.0,Low,1.0,Cat_6,B
2939,2939,Female,No,38,No,Artist,10.0,Low,1.0,Cat_6,A
2945,2945,Female,No,40,No,Engineer,8.0,Low,1.0,Cat_6,A
2946,2946,Female,Yes,43,No,Entertainment,14.0,Low,2.0,Cat_3,A
2951,2951,Male,No,37,Yes,Artist,4.0,Low,7.0,Cat_7,A
2954,2954,Female,Yes,46,Yes,Homemaker,8.0,Average,3.0,Cat_3,C
2961,2961,Female,Yes,39,No,Engineer,8.0,Average,4.0,Cat_4,D
2964,2964,Female,Yes,35,Yes,Homemaker,13.0,High,7.0,Cat_6,C
2972,2972,Female,Yes,38,No,Artist,2.0,Average,4.0,Cat_3,B
2977,2977,Female,Yes,48,No,Doctor,4.0,Low,1.0,Cat_4,D
2980,2980,Male,Yes,33,Yes,Doctor,9.0,Average,2.0,Cat_4,D
2983,2983,Male,Yes,52,No,Entertainment,4.0,Average,5.0,Cat_6,C
2987,2987,Male,Yes,36,Yes,Doctor,2.0,Average,2.0,Cat_6,A
2991,2991,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
2994,2994,Male,Yes,65,Yes,Entertainment,3.0,Low,3.0,Cat_6,C
2995,2995,Female,No,38,Yes,Marketing,8.0,Low,3.0,Cat_4,D
2998,2998,Female,Yes,46,No,Engineer,9.0,Average,1.0,Cat_4,A
3002,3002,Male,Yes,63,No,Artist,5.0,Average,2.0,Cat_6,C
3014,3014,Male,Yes,58,Yes,Artist,9.0,Average,4.0,Cat_6,C
3028,3028,Female,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B
3030,3030,Male,Yes,38,Yes,Healthcare,9.0,Low,3.0,Cat_6,A
3033,3033,Male,Yes,62,Yes,Doctor,5.0,Low,1.0,Cat_3,B
3051,3051,Male,Yes,62,No,,7.0,High,2.0,Cat_6,D
3054,3054,Female,Yes,70,Yes,Artist,5.0,High,2.0,Cat_6,C
3056,3056,Male,Yes,50,Yes,Entertainment,3.0,Low,2.0,Cat_6,A
3069,3069,Male,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6,A
3071,3071,Male,,61,,Engineer,2.0,Average,2.0,Cat_3,B
3077,3077,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
3084,3084,Male,Yes,51,Yes,Artist,5.0,Average,4.0,Cat_6,C
3086,3086,Male,Yes,57,No,Doctor,4.0,Low,3.0,Cat_4,B
3092,3092,Male,Yes,36,No,Executive,2.0,High,3.0,Cat_4,D
3105,3105,Female,No,49,Yes,Artist,3.0,Low,1.0,Cat_6,D
3110,3110,Male,Yes,42,Yes,Doctor,9.0,Low,2.0,Cat_6,C
3113,3113,Female,No,53,No,Artist,7.0,Low,1.0,Cat_6,C
3115,3115,Female,Yes,40,No,Artist,3.0,Average,,Cat_6,A
3118,3118,Female,Yes,47,Yes,Artist,6.0,Low,2.0,Cat_6,B
3120,3120,Male,No,36,,Artist,9.0,Low,2.0,Cat_6,B
3122,3122,Male,Yes,52,Yes,Executive,5.0,High,5.0,Cat_6,A
3126,3126,Male,No,63,No,Entertainment,7.0,Low,1.0,Cat_6,A
3135,3135,Female,No,35,Yes,Artist,7.0,Low,1.0,Cat_6,B
3139,3139,Female,,37,No,Engineer,2.0,Average,3.0,Cat_4,D
3144,3144,Male,Yes,66,Yes,Executive,3.0,High,2.0,Cat_6,C
3145,3145,Female,Yes,33,No,Homemaker,8.0,Average,4.0,Cat_4,D
3155,3155,Male,Yes,36,Yes,Doctor,9.0,Average,2.0,Cat_6,C
3156,3156,Female,Yes,33,No,Artist,6.0,Average,2.0,Cat_6,C
3165,3165,Female,Yes,60,Yes,Artist,8.0,High,2.0,Cat_6,C
3173,3173,Male,Yes,43,No,Artist,7.0,High,4.0,Cat_6,B
3178,3178,Male,No,47,Yes,Entertainment,2.0,Low,,Cat_1,A
3182,3182,Female,Yes,55,Yes,Artist,2.0,Average,2.0,Cat_6,C
3189,3189,Female,No,41,Yes,Artist,3.0,Low,3.0,Cat_6,D
3194,3194,Female,No,32,Yes,Artist,7.0,Low,1.0,Cat_3,D
3197,3197,Male,Yes,41,Yes,Artist,4.0,Average,3.0,Cat_6,B
3206,3206,Female,Yes,41,No,Entertainment,9.0,High,2.0,Cat_4,A
3207,3207,Female,No,35,Yes,Artist,5.0,Low,1.0,Cat_6,A
3208,3208,Female,Yes,37,Yes,Homemaker,5.0,Low,2.0,Cat_4,D
3216,3216,Male,Yes,65,No,Executive,8.0,Average,2.0,Cat_6,C
3217,3217,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
3219,3219,Female,,53,Yes,Entertainment,8.0,Average,4.0,Cat_2,B
3228,3228,Female,Yes,40,Yes,Artist,8.0,High,5.0,Cat_6,A
3230,3230,Female,No,40,Yes,Artist,6.0,Low,1.0,Cat_6,B
3231,3231,Male,Yes,41,Yes,Artist,4.0,Average,2.0,Cat_2,A
3235,3235,Male,Yes,38,Yes,Engineer,6.0,Low,2.0,Cat_3,B
3237,3237,Female,Yes,49,Yes,Artist,7.0,Average,4.0,Cat_6,B
3239,3239,Female,Yes,63,Yes,Artist,9.0,Low,2.0,Cat_6,C
3247,3247,Male,Yes,37,Yes,Artist,9.0,Low,1.0,Cat_4,A
3249,3249,Female,No,36,Yes,Artist,8.0,Low,2.0,Cat_3,B
3252,3252,Male,No,41,Yes,Artist,4.0,Low,1.0,Cat_3,A
3254,3254,Female,Yes,39,Yes,Artist,8.0,Average,3.0,Cat_6,B
3260,3260,Female,Yes,49,No,Engineer,5.0,Average,5.0,Cat_4,D
3264,3264,Female,No,41,Yes,Doctor,9.0,Low,1.0,Cat_4,A
3268,3268,Female,No,40,Yes,Healthcare,8.0,Low,4.0,Cat_2,D
3270,3270,Female,No,41,Yes,Artist,4.0,Low,1.0,Cat_6,D
3271,3271,Male,Yes,59,No,,5.0,High,2.0,Cat_6,B
3277,3277,Male,Yes,36,Yes,Executive,6.0,High,2.0,Cat_6,C
3283,3283,Female,No,33,No,Healthcare,8.0,Low,3.0,,D
3286,3286,Male,No,36,No,Entertainment,8.0,Low,2.0,Cat_6,D
3294,3294,Female,Yes,36,Yes,Homemaker,9.0,Low,2.0,Cat_4,A
3297,3297,Male,Yes,35,Yes,,3.0,Average,2.0,Cat_6,C
3298,3298,Female,Yes,60,Yes,Artist,4.0,High,2.0,Cat_6,C
3300,3300,Male,Yes,46,Yes,Artist,3.0,Average,3.0,Cat_6,A
3307,3307,Male,No,32,No,Doctor,2.0,Low,2.0,Cat_6,D
3311,3311,Female,No,39,No,Healthcare,4.0,Low,3.0,Cat_6,D
3322,3322,Male,Yes,73,Yes,Artist,5.0,High,3.0,Cat_6,C
3325,3325,Female,Yes,53,Yes,Artist,2.0,High,2.0,Cat_2,C
3332,3332,Male,Yes,40,Yes,Entertainment,5.0,Low,1.0,Cat_6,D
3336,3336,Female,No,37,Yes,Artist,12.0,Low,2.0,Cat_6,A
3340,3340,Male,Yes,35,No,Artist,9.0,Average,3.0,Cat_6,B
3343,3343,Female,Yes,53,Yes,Artist,2.0,Low,2.0,Cat_6,D
3347,3347,Male,Yes,42,No,Executive,2.0,High,4.0,Cat_6,C
3351,3351,Male,No,32,Yes,Doctor,7.0,Low,4.0,Cat_6,D
3364,3364,Male,Yes,47,Yes,Executive,9.0,Low,,Cat_6,B
3365,3365,Female,Yes,38,No,Engineer,9.0,Average,4.0,Cat_4,A
3368,3368,Male,Yes,69,No,Entertainment,3.0,Low,8.0,Cat_6,A
3376,3376,Male,Yes,47,Yes,Executive,8.0,High,4.0,Cat_6,C
3381,3381,Male,No,36,Yes,Artist,11.0,Low,2.0,Cat_6,C
3385,3385,Female,No,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
3390,3390,Male,No,40,Yes,Artist,7.0,Low,1.0,Cat_6,A
3397,3397,Female,,35,Yes,Artist,12.0,Low,2.0,Cat_6,B
3409,3409,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
3417,3417,Male,No,41,Yes,Doctor,2.0,Low,2.0,Cat_6,C
3419,3419,Male,Yes,38,No,Artist,8.0,Low,1.0,Cat_6,B
3440,3440,Female,No,51,Yes,Lawyer,2.0,Low,1.0,Cat_6,B
3444,3444,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D
3447,3447,Female,No,32,No,Homemaker,9.0,Low,1.0,Cat_6,D
3452,3452,Female,No,35,Yes,Homemaker,12.0,Low,1.0,Cat_6,C
3453,3453,Male,Yes,43,Yes,Artist,13.0,Low,1.0,Cat_6,A
3461,3461,Female,No,31,Yes,Artist,13.0,Low,2.0,Cat_6,B
3462,3462,Male,No,38,Yes,,3.0,Low,2.0,Cat_2,B
3464,3464,Female,Yes,51,No,Engineer,5.0,Average,4.0,Cat_4,C
3465,3465,Female,No,31,Yes,Healthcare,9.0,Low,3.0,Cat_6,D
3467,3467,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
3470,3470,Female,Yes,39,Yes,Artist,7.0,Average,3.0,Cat_6,B
3474,3474,Male,Yes,42,No,,8.0,Low,,Cat_4,D
3477,3477,Male,No,47,Yes,Artist,9.0,Low,2.0,Cat_6,B
3487,3487,Male,Yes,32,Yes,Healthcare,5.0,Low,2.0,Cat_6,D
3496,3496,Female,Yes,39,Yes,Artist,3.0,Low,1.0,Cat_6,B
3499,3499,Female,No,40,Yes,Artist,5.0,Low,9.0,Cat_6,C
3510,3510,Male,No,32,No,Doctor,3.0,Low,3.0,Cat_7,D
3515,3515,Male,No,43,No,Artist,6.0,Low,2.0,Cat_6,B
3517,3517,Male,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,B
3519,3519,Female,Yes,37,Yes,Artist,5.0,Average,3.0,Cat_6,B
3522,3522,Female,No,33,No,Healthcare,7.0,Low,4.0,Cat_5,D
3528,3528,Female,Yes,39,Yes,Engineer,8.0,Average,2.0,Cat_6,C
3539,3539,Male,No,37,Yes,Entertainment,7.0,Low,1.0,Cat_6,A
3541,3541,Male,Yes,56,,Artist,2.0,Average,3.0,Cat_4,B
3545,3545,Female,Yes,39,Yes,Homemaker,8.0,Low,1.0,Cat_6,D
3547,3547,Female,No,40,No,Doctor,14.0,Low,6.0,Cat_7,D
3550,3550,Male,No,50,No,Doctor,9.0,Low,3.0,Cat_6,D
3552,3552,Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,C
3558,3558,Female,Yes,48,Yes,Homemaker,3.0,Average,2.0,Cat_3,B
3566,3566,Female,Yes,46,Yes,Entertainment,5.0,Low,2.0,Cat_6,A
3574,3574,Male,Yes,72,Yes,Artist,6.0,Low,1.0,Cat_6,D
3579,3579,Female,Yes,45,Yes,Entertainment,3.0,Average,5.0,Cat_3,B
3580,3580,Male,Yes,45,Yes,Artist,9.0,Average,2.0,Cat_6,C
3583,3583,Male,Yes,41,Yes,Artist,8.0,High,2.0,Cat_2,A
3584,3584,Male,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,A
3597,3597,Male,Yes,55,Yes,Doctor,6.0,Low,1.0,Cat_3,B
3599,3599,Male,Yes,45,No,Doctor,8.0,Low,2.0,Cat_3,A
3600,3600,Male,Yes,32,No,Entertainment,5.0,Low,2.0,Cat_4,A
3608,3608,Male,Yes,35,Yes,Artist,4.0,Average,2.0,Cat_6,A
3612,3612,Male,Yes,48,Yes,Artist,4.0,Average,2.0,Cat_6,C
3613,3613,Male,Yes,61,Yes,Artist,2.0,Average,2.0,Cat_6,C
3619,3619,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_6,C
3620,3620,Male,Yes,57,Yes,Artist,5.0,Low,2.0,Cat_6,C
3621,3621,Female,No,36,Yes,Artist,5.0,Low,,Cat_6,D
3622,3622,Male,Yes,35,Yes,Entertainment,7.0,Low,2.0,Cat_6,D
3627,3627,Male,Yes,35,Yes,Entertainment,8.0,Average,,Cat_2,D
3629,3629,Female,Yes,45,No,Artist,6.0,Low,1.0,Cat_6,A
3630,3630,Female,No,33,Yes,Homemaker,8.0,Low,1.0,Cat_6,A
3635,3635,Male,Yes,62,,Entertainment,2.0,Average,4.0,Cat_3,C
3639,3639,Female,Yes,75,Yes,Lawyer,2.0,High,4.0,Cat_6,B
3640,3640,Male,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,D
3649,3649,Male,Yes,53,Yes,Artist,9.0,Low,2.0,Cat_6,B
3664,3664,Female,Yes,48,Yes,Entertainment,2.0,Low,1.0,Cat_1,A
3670,3670,Male,Yes,59,Yes,Artist,4.0,Low,1.0,Cat_4,B
3671,3671,Male,Yes,83,Yes,Lawyer,6.0,High,3.0,Cat_6,D
3676,3676,Female,No,39,Yes,Entertainment,11.0,Low,1.0,Cat_6,A
3677,3677,Female,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,C
3678,3678,Female,No,32,No,Artist,2.0,Low,4.0,Cat_2,A
3680,3680,Female,Yes,59,Yes,Entertainment,7.0,Average,2.0,Cat_6,B
3682,3682,Female,,72,No,Lawyer,8.0,Average,2.0,Cat_6,D
3690,3690,Female,No,40,Yes,Engineer,6.0,Low,3.0,Cat_6,D
3706,3706,Male,Yes,41,No,Artist,2.0,Average,3.0,Cat_6,C
3708,3708,Male,Yes,40,Yes,Entertainment,8.0,Average,2.0,Cat_6,B
3710,3710,Female,Yes,36,Yes,Doctor,7.0,Average,2.0,Cat_6,C
3717,3717,Female,No,36,Yes,Artist,9.0,Low,3.0,Cat_4,A
3723,3723,Male,Yes,73,No,Homemaker,2.0,Low,1.0,Cat_6,A
3727,3727,Female,No,32,No,Homemaker,14.0,Low,1.0,Cat_6,C
3732,3732,Male,Yes,36,No,Artist,4.0,Average,2.0,Cat_6,B
3742,3742,Male,No,33,Yes,Healthcare,8.0,Low,,Cat_3,D
3745,3745,Male,Yes,40,Yes,Artist,8.0,Average,2.0,Cat_6,C
3749,3749,Female,Yes,43,No,Engineer,9.0,Average,4.0,Cat_4,A
3750,3750,Male,Yes,37,Yes,Artist,4.0,Average,2.0,Cat_6,C
3752,3752,Male,Yes,42,Yes,Entertainment,3.0,Average,4.0,Cat_6,B
3757,3757,Female,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,A
3762,3762,Female,Yes,36,No,Artist,2.0,Average,4.0,Cat_3,C
3763,3763,Male,Yes,80,No,Lawyer,4.0,Average,2.0,Cat_6,B
3764,3764,Female,Yes,62,Yes,Artist,9.0,Average,5.0,Cat_2,B
3767,3767,Male,Yes,38,No,Executive,5.0,High,3.0,Cat_6,A
3768,3768,Male,Yes,43,Yes,Artist,8.0,Low,1.0,Cat_6,B
3770,3770,Male,Yes,36,Yes,Artist,9.0,Average,2.0,Cat_6,B
3771,3771,Male,,37,Yes,Doctor,8.0,Low,6.0,Cat_6,C
3787,3787,Female,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,B
3794,3794,Female,No,33,Yes,Homemaker,11.0,Low,,Cat_6,D
3799,3799,Female,No,40,Yes,Healthcare,8.0,Low,1.0,Cat_6,A
3800,3800,Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,Cat_6,B
3803,3803,Female,No,41,Yes,Artist,2.0,Low,1.0,Cat_6,A
3808,3808,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
3811,3811,Male,No,32,No,Doctor,6.0,Low,4.0,Cat_6,D
3821,3821,Female,No,36,No,Engineer,9.0,Low,,Cat_4,D
3822,3822,Female,No,33,Yes,Entertainment,12.0,Low,2.0,Cat_6,A
3825,3825,Female,Yes,33,Yes,Marketing,8.0,High,2.0,Cat_6,D
3830,3830,Male,Yes,67,Yes,Artist,10.0,Low,1.0,Cat_6,D
3837,3837,Female,Yes,33,Yes,Engineer,8.0,Average,5.0,Cat_4,A
3840,3840,Female,No,40,Yes,Artist,5.0,Low,1.0,Cat_6,A
3842,3842,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
3844,3844,Female,Yes,52,No,Engineer,6.0,Average,4.0,Cat_4,B
3846,3846,Male,Yes,53,Yes,Executive,9.0,High,5.0,Cat_4,B
3849,3849,Male,Yes,49,No,Executive,3.0,High,5.0,Cat_7,B
3858,3858,Male,Yes,48,Yes,Executive,5.0,High,5.0,Cat_6,B
3861,3861,Female,Yes,39,Yes,Artist,14.0,Average,2.0,Cat_6,B
3862,3862,Male,Yes,58,Yes,Artist,7.0,Low,1.0,Cat_3,B
3865,3865,Male,No,32,Yes,Healthcare,8.0,Low,2.0,Cat_4,D
3872,3872,Male,No,42,Yes,Artist,12.0,Low,1.0,Cat_3,A
3873,3873,Female,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B
3874,3874,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
3876,3876,Female,No,43,Yes,Artist,9.0,Low,2.0,Cat_6,B
3878,3878,Female,Yes,36,Yes,Artist,6.0,High,4.0,Cat_7,B
3883,3883,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C
3890,3890,Female,No,46,Yes,Entertainment,8.0,Low,2.0,Cat_6,D
3892,3892,Female,Yes,48,Yes,Artist,2.0,Average,4.0,Cat_6,C
3893,3893,Male,No,31,No,Healthcare,2.0,Low,5.0,Cat_2,A
3906,3906,Female,No,35,Yes,Artist,13.0,Low,2.0,Cat_6,B
3907,3907,Female,No,38,No,Engineer,8.0,Low,1.0,Cat_4,A
3909,3909,Female,No,32,No,Artist,3.0,Low,4.0,Cat_6,C
3916,3916,Female,Yes,47,Yes,Entertainment,3.0,Average,2.0,Cat_6,B
3919,3919,Female,Yes,55,Yes,Homemaker,13.0,Average,3.0,Cat_5,B
3920,3920,Female,Yes,51,Yes,Engineer,2.0,Low,1.0,Cat_4,B
3921,3921,Male,Yes,31,Yes,Homemaker,2.0,Low,2.0,Cat_1,B
3924,3924,Male,Yes,43,Yes,Artist,2.0,Average,3.0,Cat_6,A
3925,3925,Male,Yes,46,Yes,Artist,11.0,Average,5.0,Cat_6,C
3929,3929,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A
3935,3935,Female,Yes,66,Yes,Lawyer,4.0,Low,1.0,Cat_6,B
3939,3939,Male,No,33,No,Healthcare,9.0,Low,3.0,Cat_7,C
3940,3940,Male,Yes,52,Yes,Artist,4.0,Average,2.0,Cat_6,B
3941,3941,Male,Yes,46,No,Executive,4.0,Low,9.0,Cat_4,D
3945,3945,Female,No,42,Yes,Artist,8.0,Low,3.0,Cat_2,D
3949,3949,Female,Yes,49,Yes,Artist,3.0,High,5.0,Cat_6,C
3955,3955,Female,No,46,Yes,Artist,9.0,Low,1.0,Cat_6,B
3956,3956,Female,Yes,52,No,,7.0,Average,7.0,Cat_4,A
3964,3964,Male,Yes,73,Yes,Entertainment,5.0,Low,1.0,Cat_4,A
3969,3969,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,B
3977,3977,Male,No,38,Yes,Doctor,7.0,Low,1.0,Cat_6,C
3978,3978,Male,No,33,No,Healthcare,2.0,Low,4.0,Cat_3,A
3979,3979,Male,Yes,38,Yes,Doctor,5.0,Low,2.0,Cat_1,A
3983,3983,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
3984,3984,Female,No,39,Yes,Artist,9.0,Low,1.0,Cat_6,B
3988,3988,Male,No,41,Yes,Artist,9.0,Low,3.0,Cat_6,B
3989,3989,Male,Yes,87,Yes,Lawyer,3.0,Low,1.0,Cat_6,C
3992,3992,Female,Yes,59,Yes,Artist,3.0,High,5.0,Cat_1,B
4003,4003,Male,Yes,45,No,Artist,3.0,Average,3.0,Cat_6,A
4005,4005,Male,Yes,50,Yes,Artist,4.0,Average,4.0,Cat_3,B
4010,4010,Male,Yes,39,Yes,Entertainment,4.0,Average,4.0,Cat_6,A
4018,4018,Female,No,43,Yes,Artist,8.0,Low,4.0,Cat_6,C
4020,4020,Female,No,36,Yes,Engineer,7.0,Low,3.0,Cat_6,D
4021,4021,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B
4024,4024,Male,Yes,71,Yes,Lawyer,2.0,High,,Cat_6,A
4031,4031,Male,Yes,61,Yes,Artist,3.0,Average,2.0,Cat_6,C
4033,4033,Female,Yes,45,Yes,Artist,8.0,High,5.0,Cat_6,C
4042,4042,Female,Yes,31,No,Engineer,8.0,Low,2.0,Cat_4,C
4044,4044,Male,No,33,Yes,Healthcare,2.0,Low,3.0,Cat_6,D
4046,4046,Male,Yes,52,Yes,Artist,9.0,Low,1.0,Cat_6,B
4049,4049,Male,Yes,51,Yes,Doctor,11.0,Average,2.0,Cat_6,C
4055,4055,Female,Yes,49,Yes,Engineer,6.0,Low,3.0,Cat_3,D
4057,4057,Male,Yes,52,No,Executive,9.0,Average,4.0,Cat_6,A
4068,4068,Male,Yes,40,No,Executive,8.0,High,5.0,Cat_4,D
4074,4074,Female,Yes,38,Yes,Artist,8.0,Low,2.0,Cat_6,D
4088,4088,Male,Yes,60,Yes,Artist,3.0,High,3.0,Cat_6,B
4090,4090,Male,Yes,45,Yes,Executive,8.0,High,4.0,Cat_6,C
4092,4092,Female,No,38,No,Homemaker,13.0,Low,,Cat_6,A
4102,4102,Male,Yes,66,Yes,Lawyer,5.0,Low,2.0,Cat_6,C
4106,4106,Male,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,D
4110,4110,Female,No,31,No,Healthcare,4.0,Low,3.0,Cat_6,A
4117,4117,Female,No,42,Yes,Entertainment,5.0,Low,7.0,Cat_6,A
4121,4121,Male,Yes,43,Yes,Artist,4.0,Average,2.0,Cat_6,D
4123,4123,Male,Yes,36,Yes,Entertainment,9.0,Low,4.0,Cat_6,A
4126,4126,Male,Yes,49,Yes,Artist,3.0,Average,2.0,Cat_6,C
4127,4127,Male,No,31,Yes,Artist,7.0,Low,1.0,Cat_4,A
4131,4131,Male,Yes,35,Yes,Executive,9.0,High,4.0,Cat_6,C
4133,4133,Male,No,45,No,Artist,2.0,Low,1.0,Cat_6,B
4134,4134,Male,No,32,Yes,Healthcare,6.0,Low,5.0,Cat_6,D
4135,4135,Female,Yes,40,Yes,Doctor,6.0,Average,3.0,Cat_4,A
4148,4148,Female,No,35,No,Artist,13.0,Low,1.0,Cat_6,A
4149,4149,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
4151,4151,Male,Yes,35,Yes,Doctor,5.0,High,2.0,Cat_6,D
4160,4160,Male,Yes,39,Yes,Entertainment,9.0,Low,1.0,Cat_6,A
4164,4164,Female,No,33,Yes,Artist,10.0,Low,1.0,Cat_7,A
4166,4166,Male,Yes,42,Yes,Artist,13.0,Low,2.0,Cat_6,A
4168,4168,Female,Yes,50,Yes,Engineer,2.0,Average,3.0,Cat_6,C
4175,4175,Female,No,53,Yes,Artist,9.0,Low,1.0,Cat_6,B
4177,4177,Male,Yes,42,Yes,Artist,6.0,Low,7.0,Cat_6,C
4179,4179,Male,Yes,36,Yes,Artist,6.0,Average,4.0,Cat_6,C
4188,4188,Female,No,38,Yes,Doctor,4.0,Low,3.0,Cat_6,A
4189,4189,Female,Yes,52,Yes,Artist,9.0,Low,4.0,Cat_6,C
4200,4200,Male,Yes,46,Yes,Entertainment,4.0,High,4.0,Cat_2,B
4208,4208,Female,Yes,40,,Homemaker,9.0,Average,,Cat_4,C
4212,4212,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6,A
4213,4213,Female,Yes,36,Yes,Artist,4.0,Low,2.0,Cat_6,D
4214,4214,Female,Yes,48,Yes,Artist,4.0,Average,3.0,Cat_6,C
4216,4216,Female,Yes,74,No,Artist,5.0,High,2.0,Cat_7,C
4218,4218,Female,Yes,59,Yes,Artist,2.0,High,3.0,Cat_6,D
4224,4224,Female,No,66,No,Entertainment,4.0,Low,3.0,Cat_6,A
4233,4233,Male,No,31,Yes,Doctor,8.0,Low,1.0,Cat_6,D
4236,4236,Female,Yes,89,No,Lawyer,3.0,High,2.0,Cat_6,A
4237,4237,Female,Yes,39,Yes,Artist,9.0,Low,,Cat_4,D
4253,4253,Male,Yes,43,Yes,Entertainment,8.0,Low,2.0,Cat_6,B
4254,4254,Female,Yes,88,No,Lawyer,2.0,High,1.0,Cat_6,C
4261,4261,Male,Yes,45,No,Entertainment,10.0,Average,4.0,Cat_6,B
4266,4266,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B
4269,4269,Male,Yes,61,Yes,Entertainment,11.0,Average,3.0,Cat_6,A
4276,4276,Male,Yes,36,No,Executive,8.0,High,4.0,Cat_6,C
4287,4287,Male,No,32,Yes,Doctor,6.0,Low,5.0,Cat_6,D
4290,4290,Female,Yes,51,Yes,Homemaker,9.0,Average,2.0,Cat_6,D
4292,4292,Female,Yes,50,Yes,Entertainment,4.0,Low,2.0,Cat_6,A
4303,4303,Male,Yes,32,No,Artist,7.0,Average,2.0,Cat_6,A
4307,4307,Male,Yes,38,Yes,Artist,8.0,Average,2.0,Cat_4,B
4312,4312,Male,Yes,31,Yes,Healthcare,9.0,Low,,Cat_6,A
4314,4314,Female,No,43,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
4315,4315,Female,Yes,38,Yes,Engineer,9.0,Average,3.0,Cat_3,C
4320,4320,Female,Yes,38,Yes,Doctor,7.0,High,4.0,Cat_3,C
4321,4321,Male,Yes,38,No,Entertainment,2.0,Low,3.0,Cat_6,D
4325,4325,Male,Yes,35,Yes,Executive,4.0,High,4.0,Cat_6,C
4330,4330,Male,No,42,Yes,Entertainment,3.0,Low,2.0,Cat_2,A
4332,4332,Female,Yes,38,Yes,Artist,6.0,Low,2.0,Cat_3,B
4333,4333,Female,Yes,37,Yes,Artist,2.0,Low,2.0,Cat_7,C
4337,4337,Male,,57,Yes,Artist,2.0,High,3.0,Cat_6,B
4342,4342,Female,Yes,37,No,Engineer,8.0,Average,3.0,Cat_6,B
4344,4344,Male,Yes,68,No,Entertainment,4.0,Average,2.0,Cat_6,A
4347,4347,Female,Yes,37,Yes,Artist,5.0,Low,2.0,Cat_6,D
4348,4348,Male,Yes,56,No,Executive,8.0,High,3.0,Cat_6,A
4350,4350,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
4362,4362,Male,Yes,35,Yes,Entertainment,6.0,Low,5.0,Cat_3,D
4363,4363,Female,Yes,47,Yes,Artist,8.0,Average,4.0,Cat_3,C
4367,4367,Female,Yes,40,No,Homemaker,6.0,Low,1.0,Cat_6,D
4369,4369,Female,Yes,39,Yes,Artist,7.0,High,5.0,,C
4371,4371,Male,Yes,80,No,Lawyer,8.0,Low,1.0,Cat_6,D
4376,4376,Male,Yes,79,No,Lawyer,8.0,High,2.0,Cat_6,A
